City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
419,samana,DO,19.2056,-69.3369,87.76,74,40,9.22,scattered clouds
420,fort nelson,CA,58.8053,-122.7002,26.19,63,75,3.44,broken clouds
421,nouadhibou,MR,20.931,-17.0347,67.98,77,0,12.66,clear sky
422,santona,ES,43.4439,-3.4576,47.07,64,99,7.11,overcast clouds
423,salta,AR,-24.7859,-65.4117,82.99,34,0,4.61,clear sky
424,agapovka,RU,53.2973,59.1348,40.21,91,100,7.45,overcast clouds
425,high level,CA,58.5169,-117.136,28.51,64,75,11.5,broken clouds
426,iskateley,RU,67.6803,53.1512,9.66,93,100,10.29,overcast clouds
427,wronki,PL,52.7105,16.3804,36.28,57,92,8.79,overcast clouds
428,paradise,US,36.0972,-115.1467,80.1,21,75,14.97,broken clouds
429,husavik,IS,66.0449,-17.3389,29.77,95,100,11.99,snow
430,granada,ES,37.25,-3.25,44.11,74,99,5.19,overcast clouds
431,pathein,MM,16.7833,94.7333,77.72,70,93,2.75,overcast clouds
432,mindelo,CV,16.8901,-24.9804,72.95,60,20,11.5,few clouds
433,jinan,CN,36.6683,116.9972,53.17,57,2,8.75,clear sky
434,hofn,IS,64.2539,-15.2082,38.17,84,100,16.91,overcast clouds
435,gouyave,GD,12.1646,-61.7296,83.17,65,40,28.77,scattered clouds
436,huangchuan,CN,32.1272,115.0394,51.89,70,100,5.44,overcast clouds
437,marabba,SD,12.35,32.1833,95.16,14,57,7.78,broken clouds
438,henties bay,NA,-22.116,14.2845,61.66,83,0,4.92,clear sky
439,huanren,CN,41.2647,125.3667,37.08,80,0,5.19,clear sky
440,puerto carreno,CO,6.189,-67.4859,94.98,46,40,5.75,scattered clouds
441,mareeba,AU,-17.0,145.4333,70.52,93,14,1.34,few clouds
442,saint anthony,US,45.0205,-93.218,43.25,65,100,8.05,snow
443,hualmay,PE,-11.0964,-77.6139,73.51,75,17,10.54,few clouds
444,nador,MA,35.174,-2.9287,57.45,58,75,18.41,broken clouds
445,north branford,US,41.3276,-72.7673,43.36,89,100,9.22,light rain
446,taoudenni,ML,22.6783,-3.9836,91.4,9,0,10.33,clear sky
447,ambovombe,MG,-25.1667,46.0833,73.54,87,0,13.49,clear sky
448,rosetta,EG,31.4044,30.4164,61.88,75,3,9.62,clear sky
449,pemba,MZ,-12.974,40.5178,81.3,83,20,7.0,thunderstorm
450,carupano,VE,10.6678,-63.2585,82.71,65,20,18.01,few clouds
451,esso,RU,55.9333,158.7,2.61,97,93,5.88,overcast clouds
452,kaihua,CN,23.3687,104.28,47.64,84,0,4.9,clear sky
453,plonsk,PL,52.6235,20.3755,35.76,66,98,8.41,overcast clouds
454,itaituba,BR,-4.2761,-55.9836,82.56,83,75,3.44,broken clouds
455,yumen,CN,40.2833,97.2,47.28,23,6,12.1,clear sky
456,cherskiy,RU,68.75,161.3,-2.67,98,100,3.6,overcast clouds
457,petauke,ZM,-14.2426,31.3253,65.32,97,48,3.98,moderate rain
458,paamiut,GL,61.994,-49.6678,35.8,80,88,7.9,overcast clouds
459,camapua,BR,-19.5314,-54.0439,83.46,65,73,5.32,broken clouds
460,bonthe,SL,7.5264,-12.505,78.82,78,11,9.57,few clouds
461,iseyin,NG,7.9667,3.6,82.74,59,100,12.03,overcast clouds
462,mogok,MM,22.9167,96.5,60.42,94,56,3.62,broken clouds
463,araouane,ML,18.9048,-3.5265,91.17,11,0,7.58,clear sky
464,saint-gaudens,FR,43.0833,0.6667,32.02,87,76,2.55,broken clouds
465,vila franca do campo,PT,37.7167,-25.4333,61.21,75,13,14.45,few clouds
466,santa rosa,PH,14.3122,121.1114,80.02,74,86,10.38,overcast clouds
467,lazaro cardenas,MX,17.9583,-102.2,80.58,58,60,9.91,broken clouds
468,ocnita,RO,44.9833,25.55,42.37,60,80,7.52,broken clouds
469,alakurtti,RU,66.9672,30.3491,19.22,98,98,1.81,light snow
470,banepa,NP,27.6298,85.5214,64.72,77,75,3.44,broken clouds
471,quesnel,CA,52.9999,-122.5029,52.3,35,20,23.02,few clouds
472,sao jose da coroa grande,BR,-8.8978,-35.1478,79.66,81,21,9.91,few clouds
473,matara,LK,5.9485,80.5353,77.25,86,36,1.74,scattered clouds
474,bolila,PH,6.3717,125.5714,77.72,86,100,4.21,overcast clouds
475,santiago tuxtla,MX,18.4667,-95.3,87.8,53,52,7.67,broken clouds
476,nishihara,JP,26.1842,127.7558,63.68,80,40,13.8,scattered clouds
477,itaguacu,BR,-19.8019,-40.8556,80.22,73,87,4.97,overcast clouds
478,hay river,CA,60.8156,-115.7999,35.58,44,40,14.97,scattered clouds
479,svirsk,RU,53.0858,103.3325,23.88,97,100,4.94,light snow
480,namibe,AO,-15.1961,12.1522,70.88,80,100,8.79,overcast clouds
481,pinotepa nacional,MX,16.3167,-98.0167,92.8,29,17,11.32,few clouds
482,polewali,ID,-3.4324,119.3435,75.11,88,64,3.62,broken clouds
483,acarau,BR,-2.8856,-40.12,79.95,84,23,12.37,moderate rain
484,tsiroanomandidy,MG,-18.7667,46.0333,64.53,80,0,1.34,clear sky
485,san luis rio colorado,MX,32.4631,-114.7767,82.9,30,0,5.46,clear sky
486,male,MV,4.1748,73.5089,84.15,74,20,1.14,few clouds
487,iralaya,HN,15.0,-83.2333,83.44,65,8,9.55,clear sky
488,tamasane,BW,-22.4184,27.4013,79.38,40,100,3.8,overcast clouds
489,meulaboh,ID,4.1363,96.1285,74.25,84,100,3.09,overcast clouds
