City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
284,tayu,ID,74.34,light rain,-6.5397,111.0518,Toko pakaian bu is Tayu
285,cairns,AU,76.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
287,thoen,TH,70.7,scattered clouds,17.6129,99.2161,บ้านห้องนอน
288,barda,AZ,65.48,broken clouds,40.3744,47.1267,Prins Motel Restoran
289,sur,OM,82.44,clear sky,22.5667,59.5289,Sur Plaza Hotel
291,hami,CN,53.71,clear sky,42.8,93.45,Laoyutang Resort
294,ilo,PE,71.87,clear sky,-17.6394,-71.3375,Torreblanca Hotel
295,pemangkat,ID,77.52,overcast clouds,1.1667,108.9667,Ramah Kost KITA
296,elko,US,54.64,clear sky,41.0002,-115.5012,
297,north bend,US,59.92,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
298,miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
299,bryant,US,76.28,clear sky,34.5959,-92.4891,La Quinta Inn & Suites by Wyndham Little Rock - Bryant
300,constitucion,CL,62.78,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
301,sao felix do xingu,BR,80.04,very heavy rain,-6.6447,-51.995,Rio Xingu Camping
302,pokhara,NP,66.92,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
303,nelson bay,AU,63.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
304,ahvaz,IR,73.35,clear sky,31.3203,48.6693,tashrifat tourism travel agency
305,prado,BR,80.04,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
306,dunedin,NZ,55.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
307,ambulu,ID,74.32,clear sky,-8.345,113.6058,Hotel Ambulu Jember
311,cape coast,GH,82.63,light rain,5.1053,-1.2466,Samrit Hotel
313,geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
314,peruibe,BR,76.41,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
315,tra vinh,VN,76.21,overcast clouds,9.9347,106.3453,Hồng Ân
318,sembakung,ID,73.22,broken clouds,3.8167,117.25,
319,lat yao,TH,72.68,overcast clouds,15.751,99.7893,โรงแรมสอระ
320,kiama,AU,62.08,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
321,henderson,US,80.04,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
322,kashi,CN,58.21,clear sky,39.4547,75.9797,帕米尔青年旅舍
323,komsomolskiy,UZ,57.92,overcast clouds,40.4272,71.7189,Ikathouse
324,gat,IL,72.39,overcast clouds,31.61,34.7642,OlusHome
325,viedma,AR,53.94,overcast clouds,-40.8135,-62.9967,Hotel Cristal
326,lethem,GY,82.81,overcast clouds,3.3803,-59.7968,Savannah Inn
327,bac lieu,VN,80.02,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
328,wanning,CN,66.58,overcast clouds,18.8003,110.3967,Paradise Hotel
329,shache,CN,59.45,scattered clouds,38.4167,77.2406,Delong Hotel
330,tautira,PF,81.81,light rain,-17.7333,-149.15,Pension Oaoa
332,flinders,AU,61.88,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
333,luebo,CD,71.87,moderate rain,-5.35,21.4167,
334,vallenar,CL,82.26,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
336,tuy hoa,VN,71.15,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
338,kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
342,barcelos,PT,52.84,broken clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
343,chimbote,PE,73.87,few clouds,-9.0853,-78.5783,Hotel Briliá
344,sembe,CG,71.96,light rain,1.6481,14.5806,
345,marica,BR,80.55,scattered clouds,-22.9194,-42.8186,Marica Hills
346,kalmunai,LK,78.73,clear sky,7.4167,81.8167,VS Villa
348,thinadhoo,MV,82.89,clear sky,0.5333,72.9333,
349,kaseda,JP,51.85,clear sky,31.4167,130.3167,Sun Stay Kaseda
350,souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
355,acapulco,MX,84.76,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
